source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status,row_count_num,audit_reason,audit_decision,audit_correct_kind,audit_correct_codes,audit_notes
osm,shop=department_store,211,0.0002650866996831523,psic,rev5,,,exact,,,category,retail sale department store,47,Retail Trade,EXACT,47191,47191|4721|47217|47761|47219,"Retail selling in department stores || Retail sale of food || Retail sale of salt || Retail sale of pet || Retail sale of food, n.e.c.",0.541361|0.364212|0.340993|0.334857|0.334592,0.541361,semantic:osm:shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,211,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47191,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Sports and Recreation > Racquet Sports > Badminton Court],207,0.0002600613594047987,psic,rev5,,,exact,,,category,operation of courts for basketball volleyball badminton tennis and pickleball,93112,"Operation of courts for basketball, volleyball, badminton, tennis and pickleball",EXACT,93112,93112,"Operation of courts for basketball, volleyball, badminton, tennis and pickleball",0.961711,0.961711,semantic:fsq:sports_court;retrieval:strong_separated_hit,REVIEW_REQUIRED,207,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,93112,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Fashion Retail > Clothing Store, Retail > Boutique]",203,0.0002550360191264451,psic,rev5,,,exact,,,category,retail sale garments clothing apparel,4771,"Retail sale of clothing, footwear and leather articles",EXACT,47711,47711|4771|47719|47712|47713,"Retail sale of garments, clothing, wearing apparel and clothing accessories || Retail sale of clothing, footwear and leather articles || Retail sale of clothing, footwear and leather articles, n.e.c. || Retail sale of footwear || Retail sale of leather goods and travel accessories of leather and leather substitutes",0.697789|0.311996|0.304685|0.244308|0.101870,0.697789,semantic:fsq:retail_clothing;retrieval:strong_separated_hit,REVIEW_REQUIRED,203,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47711,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Dessert Shop > Pastry Shop],181,0.0002273966475955003,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,181,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
osm,amenity=hospital | healthcare=hospital,180,0.00022614031252591191,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:osm:amenity=hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED,180,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,861,Semantically defensible at the proposed PSIC hierarchy level.
overture,bridge,172,0.0002160896319692047,psic,rev5,,,exact,,,category,bridge,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,172,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Brewery],160,0.0002010136111341439,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,160,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
overture,solar_installation,159,0.00019975727606455553,psic,rev5,,,exact,,,category,solar installation,,,EXACT,43211,43211|4321|4329|43290|43219,"Installation of solar panels || Electrical installation || Other construction installation || Other construction installation || Electrical installation, n.e.c.",0.664731|0.439951|0.412831|0.412831|0.409823,0.664731,semantic:raw_category;retrieval:strong_separated_hit,REVIEW_REQUIRED,159,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,43211,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Dessert Shop > Waffle Shop],147,0.00018468125522949473,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,147,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Business and Professional Services > Health and Beauty Service > Massage Clinic, Business and Professional Services > Health and Beauty Service > Spa]",141,0.00017714324481196434,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED,141,HIGH_FREQUENCY,CORRECT,SUBTREE,962,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Business and Professional Services > Health and Beauty Service > Spa, Business and Professional Services > Health and Beauty Service > Massage Clinic]",141,0.00017714324481196434,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED,141,HIGH_FREQUENCY,CORRECT,SUBTREE,962,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Bagel Shop],137,0.00017211790453361072,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,137,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Business and Professional Services > Health and Beauty Service > Hair Salon, Business and Professional Services > Health and Beauty Service > Nail Salon]",134,0.00016834889932484555,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED,134,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,962,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Sports and Recreation > Gym and Studio, Sports and Recreation > Gym and Studio > Gym]",132,0.00016583622918566872,psic,rev5,,,exact,,,category,operation of fitness centers,93111,Operation of fitness centers,EXACT,93111,93111,Operation of fitness centers,1.000000,1.000000,semantic:fsq:fitness;retrieval:strong_separated_hit,REVIEW_REQUIRED,132,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,93111,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Winery],130,0.00016332355904649193,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,130,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Sports and Recreation > Volleyball Court],130,0.00016332355904649193,psic,rev5,,,exact,,,category,operation of courts for basketball volleyball badminton tennis and pickleball,93112,"Operation of courts for basketball, volleyball, badminton, tennis and pickleball",EXACT,93112,93112,"Operation of courts for basketball, volleyball, badminton, tennis and pickleball",0.961711,0.961711,semantic:fsq:sports_court;retrieval:strong_separated_hit,REVIEW_REQUIRED,130,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,93112,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Business and Professional Services > Health and Beauty Service > Nail Salon, Business and Professional Services > Health and Beauty Service > Spa]",129,0.00016206722397690354,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED,129,HIGH_FREQUENCY,CORRECT,SUBTREE,962,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=motorcycle_parts,126,0.00015829821876813834,psic,rev5,,,exact,,,category,retail sale motorcycle parts,47,Retail Trade,EXACT,47832,47832|47831|4783|478|4782,"Retail sale of motorcycle parts and accessories || Retail sale of motorcycles || Retail sale of motorcycles, motorcycles parts and accessories || Retail sale of motor vehicles, motorcycles and related parts and accessories || Retail sale of motor vehicle parts and accessories",0.753246|0.503675|0.472191|0.409470|0.396023,0.753246,semantic:osm:shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,126,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47832,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Drugstore, Retail > Pharmacy]",121,0.00015201654342019634,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:fsq:retail_pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED,121,HIGH_FREQUENCY,CORRECT,SUBTREE,4772,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Dining and Drinking > Snack Place, Dining and Drinking > Food Stand]",114,0.00014322219793307754,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,114,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
overture,animal_shelter,110,0.00013819685765472395,psic,rev5,,,exact,,,category,animal shelter,,,SUBTREE,014,014|0162|01629|01623|01,"Animal production || Support activities for animal production || Support activities for animal production, n.e.c. || Farm management services for animal production || Crop and Animal Production, Hunting and Related Service Activities",0.537812|0.369026|0.353546|0.272032|0.249130,0.537812,semantic:raw_category;retrieval:strong_separated_hit,REVIEW_REQUIRED,110,STRATIFIED_KIND_SOURCE_FREQ,WRONG_CODE,REVIEW,,Animal shelter is not animal-production activity.
fsq,[Community and Government],109,0.00013694052258513554,psic,rev5,,,exact,,,category,Community and Government,,,UNCODEABLE,,,,,,rule:broad_ontology_bucket,REVIEW_REQUIRED,109,ALL_UNCODEABLE,CORRECT,UNCODEABLE,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Convenience Store, Retail > Food and Beverage Retail > Grocery Store]",107,0.00013442785244595874,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:fsq:retail_convenience;retrieval:strong_separated_hit,REVIEW_REQUIRED,107,STRATIFIED_KIND_SOURCE_FREQ,TOO_NARROW,REVIEW,,Convenience-store code selects one component of a combined source value containing a different retail/service class.
fsq,"[Retail > Pharmacy, Retail > Cosmetics Store]",106,0.00013317151737637036,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:fsq:retail_pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED,106,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,4772,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Community and Government > Residential Building > Apartment or Condo, Landmarks and Outdoors > Structure]",104,0.00013065884723719354,psic,rev5,,,exact,,,category,"Community and Government Residential Building Apartment or Condo, Landmarks and Outdoors Structure",,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,104,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Landmarks and Outdoors > River],100,0.00012563350695883995,psic,rev5,,,exact,,,category,Landmarks and Outdoors River,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,100,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=gift,99,0.00012437717188925156,psic,rev5,,,exact,,,category,retail sale gift,47,Retail Trade,EXACT,47192,47192|4721|47217|47761|47219,"Retail sale of gift and novelty goods || Retail sale of food || Retail sale of salt || Retail sale of pet || Retail sale of food, n.e.c.",0.541456|0.418616|0.394283|0.388330|0.377104,0.541456,semantic:osm:shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,99,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47192,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Landmarks and Outdoors > Mountain],98,0.00012312083681966315,psic,rev5,,,exact,,,category,Landmarks and Outdoors Mountain,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,98,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=beverages,97,0.00012186450175007475,psic,rev5,,,exact,,,category,retail sale beverages,47,Retail Trade,SUBTREE,4722,4722|47221|472|47222|4721,"Retail sale of beverages || Retail sale of alcoholic beverages || Retail sale of food, beverages and tobacco || Retail sale of non-alcoholic beverages || Retail sale of food",0.841095|0.596075|0.578825|0.541081|0.444428,0.841095,semantic:osm:shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,97,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,4722,Semantically defensible at the proposed PSIC hierarchy level.
osm,amenity=hospital | healthcare=hospital | emergency=yes,93,0.00011683916147172115,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:osm:amenity=hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED,93,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,861,Semantically defensible at the proposed PSIC hierarchy level.
osm,amenity=hospital,91,0.00011432649133254436,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:osm:amenity=hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED,91,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,861,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Convenience Store, Dining and Drinking > Snack Place]",85,0.00010678848091501396,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:fsq:retail_convenience;retrieval:strong_separated_hit,REVIEW_REQUIRED,85,STRATIFIED_KIND_SOURCE_FREQ,TOO_NARROW,REVIEW,,Convenience-store code selects one component of a combined source value containing a different retail/service class.
fsq,[Retail > Leather Goods Store],81,0.00010176314063666037,psic,rev5,,,exact,,,category,retail sale Leather Goods Store,47,Retail Trade,EXACT,47713,47713|4773|4721|4771|4774,"Retail sale of leather goods and travel accessories of leather and leather substitutes || Retail sale of other new goods n.e.c. || Retail sale of food || Retail sale of clothing, footwear and leather articles || Retail sale of second-hand goods",0.527915|0.401333|0.353878|0.346033|0.339470,0.527915,semantic:fsq:retail;retrieval:strong_separated_hit,REVIEW_REQUIRED,81,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47713,Semantically defensible at the proposed PSIC hierarchy level.
overture,monument,80,0.00010050680556707195,psic,rev5,,,exact,,,category,monument,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,80,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
overture,water_park,77,9.673780035830676e-05,psic,rev5,,,exact,,,category,water park,,,SUBTREE,50,50|502|5021|50220|5022,Water Transport || Inland water transport || Inland passenger water transport || Inland freight water transport || Inland freight water transport,0.485405|0.341569|0.284429|0.281079|0.281079,0.485405,semantic:raw_category;retrieval:strong_separated_hit,REVIEW_REQUIRED,77,STRATIFIED_KIND_SOURCE_FREQ,WRONG_CODE,REVIEW,,"Water park is recreation/amusement, not water transport."
fsq,"[Health and Medicine > Medical Lab, Health and Medicine > Hospital > Hospital Unit]",62,7.789277431448077e-05,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:fsq:hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED,62,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,861,Semantically defensible at the proposed PSIC hierarchy level.
overture,bowling_alley,62,7.789277431448077e-05,psic,rev5,,,exact,,,category,bowling alley,,,EXACT,32403,32403|10611|10612|10799|29103,"Manufacture of billiard, pool, bowling alley and similar games equipment || Rice milling || Corn milling || Manufacture of all other food products, n.e.c. || Manufacture of buses, trolleybuses and coaches",0.504160|0.032070|0.031116|0.027303|0.026667,0.504160,semantic:raw_category;retrieval:strong_separated_hit,REVIEW_REQUIRED,62,STRATIFIED_KIND_SOURCE_FREQ,WRONG_CODE,REVIEW,,"Lexical match selected manufacture of bowling equipment, but the source is a bowling-alley establishment/venue."
overture,antique_store,61,7.663643924489237e-05,psic,rev5,,,exact,,,category,retail sale antique,47,Retail Trade,EXACT,47743,47743|4721|47217|47219|4751,"Retail sale of antiques || Retail sale of food || Retail sale of salt || Retail sale of food, n.e.c. || Retail sale of textiles",0.645816|0.524567|0.489367|0.487486|0.484450,0.645816,semantic:overture:store_suffix;retrieval:strong_separated_hit,REVIEW_REQUIRED,61,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47743,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Landmarks and Outdoors > Lake],56,7.035476389695037e-05,psic,rev5,,,exact,,,category,Landmarks and Outdoors Lake,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,56,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Pet Supplies Store, Business and Professional Services > Pet Service]",49,6.156041840983158e-05,psic,rev5,,,exact,,,category,retail sale Pet Service,47,Retail Trade,EXACT,47761,47761|4776|47762|4790|47900,Retail sale of pet || Retail sale of pet and pet supplies || Retail sale of pet supplies || Intermediation service activities for retail sale || Intermediation service activities for retail sale,0.753313|0.603016|0.587476|0.449038|0.449038,0.753313,semantic:fsq:retail;retrieval:strong_separated_hit,REVIEW_REQUIRED,49,STRATIFIED_KIND_SOURCE_FREQ,TOO_NARROW,REVIEW,,The combined source value spans pet retail/service activities; live-pet retail alone is incomplete.
fsq,"[Landmarks and Outdoors > Structure, Community and Government > Residential Building > Apartment or Condo]",46,5.7791413201066376e-05,psic,rev5,,,exact,,,category,"Landmarks and Outdoors Structure, Community and Government Residential Building Apartment or Condo",,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,46,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Fashion Retail > Clothing Store, Retail > Fashion Retail > Fashion Accessories Store]",45,5.653507813147798e-05,psic,rev5,,,exact,,,category,retail sale garments clothing apparel,4771,"Retail sale of clothing, footwear and leather articles",EXACT,47711,47711|4771|47719|47712|47713,"Retail sale of garments, clothing, wearing apparel and clothing accessories || Retail sale of clothing, footwear and leather articles || Retail sale of clothing, footwear and leather articles, n.e.c. || Retail sale of footwear || Retail sale of leather goods and travel accessories of leather and leather substitutes",0.697789|0.311996|0.304685|0.244308|0.101870,0.697789,semantic:fsq:retail_clothing;retrieval:strong_separated_hit,REVIEW_REQUIRED,45,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47711,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=pet_grooming,45,5.653507813147798e-05,psic,rev5,,,exact,,,category,retail sale pet grooming,47,Retail Trade,EXACT,47761,47761|4776|47762|4721|47217,Retail sale of pet || Retail sale of pet and pet supplies || Retail sale of pet supplies || Retail sale of food || Retail sale of salt,0.755558|0.605209|0.591454|0.426497|0.400903,0.755558,semantic:osm:shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,45,STRATIFIED_KIND_SOURCE_FREQ,WRONG_CODE,REVIEW,,"Pet grooming is a service, not retail sale of live pets."
osm,shop=food,44,5.527874306188958e-05,psic,rev5,,,exact,,,category,retail sale food,47,Retail Trade,SUBTREE,4721,4721|47219|47217|47761|47712,"Retail sale of food || Retail sale of food, n.e.c. || Retail sale of salt || Retail sale of pet || Retail sale of footwear",0.841181|0.706975|0.497491|0.490128|0.486498,0.841181,semantic:osm:shop;retrieval:strong_separated_hit,REVIEW_REQUIRED,44,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,4721,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Retail > Fashion Retail > Clothing Store, 'Retail > Fashion Retail > Women\'s Store']",42,5.276607292271278e-05,psic,rev5,,,exact,,,category,retail sale garments clothing apparel,4771,"Retail sale of clothing, footwear and leather articles",EXACT,47711,47711|4771|47719|47712|47713,"Retail sale of garments, clothing, wearing apparel and clothing accessories || Retail sale of clothing, footwear and leather articles || Retail sale of clothing, footwear and leather articles, n.e.c. || Retail sale of footwear || Retail sale of leather goods and travel accessories of leather and leather substitutes",0.697789|0.311996|0.304685|0.244308|0.101870,0.697789,semantic:fsq:retail_clothing;retrieval:strong_separated_hit,REVIEW_REQUIRED,42,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47711,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Dining and Drinking > Dessert Shop > Frozen Yogurt Shop, Dining and Drinking > Dessert Shop]",41,5.150973785312438e-05,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,41,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,"[Landmarks and Outdoors > States and Municipalities > Neighborhood, Community and Government > Housing Development]",37,4.6484397574770785e-05,psic,rev5,,,exact,,,category,"Landmarks and Outdoors States and Municipalities Neighborhood, Community and Government Housing Development",,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,37,STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
osm,leisure=water_park,34,4.2715392366005585e-05,psic,rev5,,,exact,,,category,water park leisure,,,SUBTREE,50,50|502|5021|50220|5022,Water Transport || Inland water transport || Inland passenger water transport || Inland freight water transport || Inland freight water transport,0.463524|0.324975|0.270294|0.267428|0.267428,0.463524,semantic:raw_category;retrieval:strong_separated_hit,REVIEW_REQUIRED,34,STRATIFIED_KIND_SOURCE_FREQ,WRONG_CODE,REVIEW,,"Water park is recreation/amusement, not water transport."
